peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Comcast ,,,,1800 N Grand River Avenue,,,,Lansing,48906,MI,USA,,,,,,,,
,,,,Comcast ,,,,24700 Northwestern Hwy,,,,Southfield,48075,MI,USA,,,,,,,,
,,,,Comcast ,,,,43831 Devin Shafron Drive (Bldg C),,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Comcast ,,,,44480 Hastings Drive,,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Comcast ,,,,171 Bearfoot Rd,,,,Northborough,,MA,USA,,,,,,,,
,,,,Comcast ,,,,4700 Old Ironsides Drive,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,47923 Warm Springs Blvd,,,,Fremont,94539,CA,USA,,,,,,,,
,,,,Comcast ,,,,2836 Peterson Place,,,,Norcross,30071,GA,USA,,,,,,,,
,,,,Comcast ,,,,6620 Bay Circle,,,,Norcross,30071,GA,USA,,,,,,,,
,,,,Comcast ,,,,4513 Western Avenue,,,,Lisle,60532,IL,USA,,,,,,,,
,,,,Comcast ,,,,1525 NW 98 Court,,,,Doral,,FL,USA,,,,,,,,
,,,,Comcast ,,,,15 Enterprise Avenue,,,,Secaucus,7094,NJ,USA,,,,,,,,
,,,,Comcast ,,,,200 Webro Rd.,,,,Parsippany,7054,NJ,USA,,,,,,,,
,,,,Comcast ,,,,365 S Randolphville,,,,Piscataway,8854,NJ,USA,,,,,,,,
,,,,Comcast ,,,,184 Railroad Avenue,,,,Warminster,18974,PA,USA,,,,,,,,
,,,,Comcast ,,,,1700 Richard Avenue,,,,Santa Clara,95050,CA,USA,,,,,,,,
,,,,Comcast ,,,,2151 Mission College Boulevard,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,7210 Ardmore Street,,,,Houston,77054,TX,USA,,,,,,,,
,,,,Comcast ,,,,7599 Corporate Way,,,,Eden Prairie,55344,MN,USA,,,,,,,,
,,,,Comcast ,,,,6048 Century Oaks Dr,,,,Chattanooga,,TN,USA,,,,,,,,
,,,,Comcast ,,,,316 E Monroe Street,,,,South Bend,46601,IN,USA,,,,,,,,
,,,,Comcast ,,,,5301 Buckeystown Pike,,,,Frederick,21704,MD,USA,,,,,,,,
,,,,Comcast ,,,,7990 Science Applications Court,,,,Vienna,22182,VA,USA,,,,,,,,
,,,,Comcast ,,,,9651 Hornbaker Rd.,,,,Manassas,20109,VA,USA,,,,,,,,
,,,,Comcast ,,,,410 Commerce Boulevard,,,,Carlstadt,7072,NJ,USA,,,,,,,,
,,,,Comcast ,,,,140 Akron Road,,,,Ephrata,17522,PA,USA,,,,,,,,
,,,,Comcast ,,,,3065 Gold Camp Drive,,,,Rancho Cordova,95050,CA,USA,,,,,,,,
,,,,Comcast ,,,,950 17th Street,,,,Denver,80202,CO,USA,,,,,,,,
,,,,Comcast ,,,,9000 SW Nimbus Avenue,Portland #2,,,Beaverton,97008,OR,USA,,,,,,,,
,,,,Comcast ,,,,1300 SW 7th Street,Suite 112,,,Tukwila,98057,WA,USA,,,,,,,,
,,,,Comcast ,,,,601 W Main Avenue,,,,Spokane,99201,WA,USA,,,,,,,,
,,,,Comcast ,,,,9355 Grand Ave,,,,Franklin Park,60131,IL,USA,,,,,,,,
,,,,Comcast ,,,,900 Venture Drive,,,,Allen,75013,TX,USA,,,,,,,,
,,,,Comcast ,,,,752 Barret Ave.,,,,Louisville,40204,KY,USA,,,,,,,,
,,,,Comcast ,,,,"7401 E Ben White Blvd, Building 7",,,,Austin,78741,TX,USA,,,,,,,,
,,,,Comcast ,,,,47 Mall Dr.,,,,Commack,11725,NY,USA,,,,,,,,
,,,,Comcast ,,,,4121 Perimeter Center Place,,,,Oklahoma City,73112,OK,USA,,,,,,,,
,,,,Comcast ,,,,185 Berry Street,,,,San Francisco,94107,CA,USA,,,,,,,,
,,,,Comcast ,,,,12175 North Freeway,,,,Houston,77060,TX,USA,,,,,,,,
,,,,Comcast ,,,,8675 Concord Center Drive,,,,Englewood,,CO,USA,,,,,,,,
,,,,Comcast ,,,,1125 Energy Park Drive,,,,St. Paul,55108,MN,USA,,,,,,,,
,,,,Comcast ,,,,7505 John W. Carpenter Fwy,,,,Dallas,75247,TX,USA,,,,,,,,
,,,,Comcast ,,,,615 N. 48th St.,,,,Phoenix,85008,AZ,USA,,,,,,,,
,,,,Comcast ,,,,5700 North Blackstock Rd,,,,Spartanburg,29301,SC,USA,,,,,,,,
