peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Zayo,,,,5101 Lafayette St,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Zayo,,,,511 11th Ave S,,,,Minneapolis,55415,MN,USA,,,,,,,,
,,,,Zayo,,,,1100 White St SW,,,,Atlanta,30310,GA,USA,,,,,,,,
,,,,Zayo,,,,3110 N Central Ave,,,,Phoenix,85012,AZ,USA,,,,,,,,
,,,,Zayo,,,,600 S Federal St,,,,Chicago,60605,IL,USA,,,,,,,,
,,,,Zayo,,,,151 Front St W,,,,Toronto,M5J 2N1,ON,Canada,,,,,,,,
,,,,Zayo,,,,17222 Von Karman Ave,,,,Irvine,92614,CA,USA,,,,,,,,
,,,,Zayo,,,,2001 6th Ave,,,,Seattle,98121,WA,USA,,,,,,,,
,,,,Zayo,,,,1525 Rockwell Ave,,,,Cleveland,44114,OH,USA,,,,,,,,
,,,,Zayo,,,,111 8th Ave,,,,New York,10011,NY,USA,,,,,,,,
,,,,Zayo,,,,60 Hudson St,,,,New York,10013,NY,USA,,,,,,,,
,,,,Zayo,,,,401 N Broad St,,,,Philadelphia,19108,PA,USA,,,,,,,,
,,,,Zayo,,,,165 Halsey St,,,,Newark,7102,NJ,USA,,,,,,,,
,,,,Zayo,,,,7620 Appling Center Dr,,,,Memphis,38133,TN,USA,,,,,,,,
,,,,Zayo,,,,393 Inverness Pkwy,,,,Englewood,80112,CO,USA,,,,,,,,
,,,,Zayo,,,,8600 Harry Hines Blvd,,,,Dallas,75235,TX,USA,,,,,,,,
,,,,Zayo,,,,1808 Swift Dr,,,,Oak Brook,60523,IL,USA,,,,,,,,
,,,,Zayo,,,,1500 Champa St,,,,Denver,80202,CO,USA,,,,,,,,
,,,,Zayo,,,,36 NE 2nd St,,,,Miami,33132,FL,USA,,,,,,,,
,,,,Zayo,,,,6900 S Peoria St,,,,Centennial,80112,CO,USA,,,,,,,,
,,,,Zayo,,,,1950 N Stemmons Fwy,,,,Dallas,75207,TX,USA,,,,,,,,
,,,,Zayo,,,,840 S Canal St,,,,Chicago,60607,IL,USA,,,,,,,,
,,,,Zayo,,,,707 Wilshire Blvd,,,,Los Angeles,90017,CA,USA,,,,,,,,
,,,,Zayo,,,,1100 Empire Central Pl,,,,Dallas,75247,TX,USA,,,,,,,,
,,,,Zayo,,,,1 Summer St,,,,Boston,2110,MA,USA,,,,,,,,
,,,,Zayo,,,,209 10th Ave S,,,,Nashville,37203,TN,USA,,,,,,,,
,,,,Zayo,,,,7185 Pollock Dr,,,,Las Vegas,89119,NV,USA,,,,,,,,
,,,,Zayo,,,,21635 Red Rum Dr,,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Zayo,,,,12270 World Trade Dr,,,,San Diego,92128,CA,USA,,,,,,,,
,,,,Zayo,,,,17400 Von Karman Ave,,,,Irvine,92614,CA,USA,,,,,,,,
,,,,Zayo,,,,19-21 Rue Poissonnière,,,,Paris,75002,,France,,,,,,,,
,,,,Zayo,,,,114 Rue Ambroise Croizat,,,,Saint-Denis,93200,,France,,,,,,,,
,,,,Zayo,,,,10 Rue des Frères Peugeot,,,,Balma,31130,,France,,,,,,,,
,,,,Zayo,,,,700 Austin Ave,,,,Waco,76701,TX,USA,,,,,,,,
,,,,Zayo,,,,6606 LBJ Fwy,,,,Dallas,75240,TX,USA,,,,,,,,
,,,,Zayo,,,,800 E Business Ctr,,,,Chicago,60056,IL,USA,,,,,,,,
,,,,Zayo,,,,7218 McNeil Dr,,,,Austin,78729,TX,USA,,,,,,,,
,,,,Zayo,,,,9606 Aero Drive,,,,San Diego,92123,CA,USA,,,,,,,,
,,,,Zayo,,,,143 Rue Emile Julien,,,,Montpellier,,,France,,,,,,,,
