Building Id,Cogent Market,Ranking,Address,Building/Node Name,City,State,Zip Code,On Net Date,On Net Status,Site Type
1035-1,Houston,1,12001 North Fwy,Level 3,Houston,TX,77060,12/28/01,Lit,Carrier Neutral Data Center
10621-0,Dallas,1,3000 Irving Blvd,TierPoiint (former Colo4),Dallas,TX,75247,2/21/02,Lit,Carrier Neutral Data Center
10624-1,Charlotte,1,3101 International Airport Dr,DC74 Data Center,Charlotte,NC,28208,6/30/11,Lit,Carrier Neutral Data Center
10915-0,Los Angeles,1,615 S. Grand Avenue,615 S. Grand Avenue,Los Angeles,CA,90017,7/24/02,Lit,Carrier Neutral Data Center
10917-1,Chicago,1,710 N Lake Shore Drive,Starlight,Chicago,IL,60602,9/7/07,Lit,Carrier Neutral Data Center
10923-1,Toronto,1,100 Wellington West 4th Floor,Q9 Datacenter Toronto 1,Toronto,ON,M5K 1E7,8/28/15,Lit,Carrier Neutral Data Center
10929-1,Toronto,1,130 King St West,Toronto Stock Exchange Colo,Toronto,ON,M5X 1E5,11/13/09,Lit,Carrier Neutral Data Center
10929-2,Toronto,1,130 King St West - Suite 2105,Chi-X,Toronto,ON,M5X 1E5,2/24/10,Lit,Carrier Neutral Data Center
10946-1,Toronto,1,25 Adelaide St East 5th Floor,Interlink,Toronto,ON,M5H 2Y2,12/20/02,Lit,Carrier Neutral Data Center
10988-1,Toronto,1,1 Yonge St.,Amanah Tech Data Center,Toronto,ON,M5E 1E5,2/4/16,Lit,Carrier Neutral Data Center
11016-1,Toronto,1,10 Bay St. 2nd floor,Blackiron,Toronto,ON,M5J 2R8,7/18/13,Lit,Carrier Neutral Data Center
11027-1,Toronto,1,151 Front St. W.,Equinix (Formerly Switch and Data),Toronto,ON,M5J 2N1,6/25/04,Lit,Carrier Neutral Data Center
11027-3,Toronto,1,151 Front St. W.,Cologix (STD Connections),Toronto,ON,M5J 2N1,2/23/06,Lit,Carrier Neutral Data Center
1105-1,New York,2,111 Eighth Ave - Suite 536,Decom COI Pop - JFK07 - Switch and Data,New York,NY,10011,6/30/14,Un Lit,Carrier Neutral Data Center
1105-2,New York,1,111 Eighth Ave - Suite 734,COI Pop - JFK05 - SwData-PAIX-NY,New York,NY,10011,7/13/01,Lit,Carrier Neutral Data Center
1105-3,New York,1,111 Eighth Ave - 3rd Floor,Level 3,New York,NY,10011,11/24/01,Lit,Carrier Neutral Data Center
