SITE ADDRESS,SITE ADDRESS 2,CITY,STATE,ZIP
1800 N Grand River Avenue,,Lansing,MI,48906
24700 Northwestern Hwy,,Southfield,MI,48075
43831 Devin Shafron Drive (Bldg C),,Ashburn,VA,20147
44480 Hastings Drive,,Ashburn,VA,20147
171 Bearfoot Rd,,Northborough,MA,--
4700 Old Ironsides Drive,,Santa Clara,CA,95054
47923 Warm Springs Blvd,,Fremont,CA,94539
2836 Peterson Place,,Norcross,GA,30071
6620 Bay Circle,,Norcross,GA,30071
4513 Western Avenue,,Lisle,IL,60532
1525 NW 98 Court,,Doral,FL,
15 Enterprise Avenue,,Secaucus,NJ,7094
200 Webro Rd.,,Parsippany,NJ,7054
365 S Randolphville,,Piscataway,NJ,8854
184 Railroad Avenue,,Warminster,PA,18974
1700 Richard Avenue,,Santa Clara,CA,95050
2151 Mission College Boulevard,,Santa Clara,CA,95054
7210 Ardmore Street,,Houston,TX,77054
7599 Corporate Way,,Eden Prairie,MN,55344
6048 Century Oaks Dr,,Chattanooga,TN,
316 E Monroe Street,,South Bend,IN,46601
5301 Buckeystown Pike,,Frederick,MD,21704
7990 Science Applications Court,,Vienna,VA,22182
9651 Hornbaker Rd.,,Manassas,VA,20109
410 Commerce Boulevard,,Carlstadt,NJ,7072
140 Akron Road,,Ephrata,PA,17522
3065 Gold Camp Drive,,Rancho Cordova,CA,95050
950 17th Street,,Denver,CO,80202
9000 SW Nimbus Avenue,Portland #2,Beaverton,OR,97008
1300 SW 7th Street,Suite 112,Tukwila,WA,98057
601 W Main Avenue,,Spokane,WA,99201
9355 Grand Ave,,Franklin Park,IL,60131
900 Venture Drive,,Allen,TX,75013
752 Barret Ave.,,Louisville,KY,40204
"7401 E Ben White Blvd, Building 7",,Austin,TX,78741
47 Mall Dr.,,Commack,NY,11725
4121 Perimeter Center Place,,Oklahoma City,OK,73112
185 Berry Street,,San Francisco,CA,94107
12175 North Freeway,,Houston,TX,77060
8675 Concord Center Drive,,Englewood,CO,
1125 Energy Park Drive,,St. Paul,MN,55108
7505 John W. Carpenter Fwy,,Dallas,TX,75247
615 N. 48th St.,,Phoenix,AZ,85008
5700 North Blackstock Rd,,Spartanburg,SC,29301
3618 8th Ave.,,Kenosha,WI,53140
2401 E. Katella Ave,,Anaheim,CA,92806
2323 Bryan St,,Dallas,TX,75201
111 8th Ave,,New York,NY,10011
5050 Poplar Avenue,,Memphis,TN,38157
4301 Connecticut Avenue,,Washington,DC,20008
21561 Beaumeade Circle,,Ashburn,VA,20147
22810 International Dr,,Sterling,VA,20166
43940 Digital Loudoun Plaza- Loudoun (Bldg G),,Ashburn,VA,20147
4101 Maple Avenue,,Pennsauken,NJ,8109
"1309 Noble Street, floor 6",,Philadelphia,PA,19123
20845 Sockeye Pl,,Bend,OR ,97701
"2020 Fifth Avenue, Westin Annex",,Seattle,WA,98121
555 Scherers Ct.,,Columbus,OH,43085
2501 S. State Hwy 121,,Lewisville,TX,75067
21641 Beaumeade Circle,,Ashburn,VA,20147
7060 Empire Central Drive,,Houston,TX,77040
3004 Irving Blvd.,,Dallas,TX,75247
21700 Melrose Ave.,,Southfield,MI,48075
30 Temple Street,,Nashua,NH,3060
15400 SE Place,,Bellevue,WA,98007
5480 Feltl Road,,Minnetonka,MN,55343
2 Prince Ave,,Lowell,MA,2110
"85 10th Avenue, 7th Floor",,New York,NY,10011
6431 Longhorn Dr,,Irving,TX,--
1920 East Maple Ave,,El Segundo,CA,90245
10105 David Taylor Drive,,Charlotte,NC,28262
4227 Lafayette Center Dr,,Chantilly,VA,20151
59 Innerbelt Road,,Somerville,MA,2143
34 Exchange Place,,Jersey City,NJ,7302
313 Inverness Way South,,Englewood,CO,80112
3830 Singer Boulevard NE,,Albuquerque,NM,87109
3225 Alderwood Mall Blvd - Suite E,,Lynnwood,WA,98036
801 S. 16th Street,,Phoenix,AZ,85034
205 W. 9th St.,,Austin,TX,78701
14500 W. 105th St.,,Lenexa,KS,66215
800 Secaucus Road,,Secaucus,NJ,7094
3200 Blake Street,,Denver,CO,80205
136 South Main Street ( 136 South Temple Street),,Salt Lake City,UT,84101
23605 NW Huffman St,,Hillsboro,OR,97124
5515 Nobel Drive,,Fitchburg,WI,53711
21110 Ridgetop Circle,,Sterling,VA,20166
3175 Spring Street,,Redwood City,CA,94063
11003 Corporate Center Drive,,Houston,TX,77041
123 Central Avenue NW,,Albuquerque,NM,87102
505 Marquette Ave NW,,Albuquerque,NM,87120
10575 SW Cascade Avenue,Suite F,Tigard,OR,97223
4005 S Mendenhall Road,,Memphis,TN,38115
1531 Commonwealth Drive,,Tallahassee,FL,32303
650 Randolph Road,"Suite 110, 120",Franklin Township,NJ,8854
1745 W 5th Ave.,,Eugene,OR,97402
360 E. 22nd Street,,Lombard,IL,60148
505 West Merrill,,Indianapolis,IN,46225
200 Technology Drive,,Pittsburgh,PA,15219
1050 17th Street,,Denver,CO,80265
133 N. Broadway Street,,Knoxville,TN,37932
2575 Willow Point Way,103,Knoxville,TN,37931
708 Melrose Avenue,,Berry Hill,TN,37211
111 Pavonia Ave (aka 111 Town Square Place),,Jersey City,NJ,7310
3 Corporate Pl,,Piscataway,NJ,8854
250 Stockton Avenue,,San Jose,CA,95126
12031 North Freeway,,Houston,TX,77067
8413 Hempstead Road,,Houston,TX,
2990 Sidco Ave,,Nashville,TN,37204
155 N Michigan Street,,Chicago,IL,60601
2800 S. Ashland Ave,,Chicago,IL,60608
303 E. Washington Street,,Bloomington,IL,61701
300 JFK Boulevard East,,Weehawken,NJ,7086
5115 Arnold,,McClellan,CA,
9000 Foothills,,Roseville,Ca,
14197 SW Millikan Way,,Cedar Hills,OR,97005
3255 Neil Armstrong Blvd.,,Eagan,MN,55121
451 D Street,3rd Floor,Boston,MA,2210
60 Hudson St. Suite 1602,,New York,NY,10013
18155 Technology Drive,,Culpeper,VA,22701
1310 Redwood Way,,Petalumma,CA,
2260 Apollo Way,,Santa Rosa,CA,
4211 Southwest Freeway,,,,
3350 Eastbrook Drive,,Fort Collins,CO,
545 E. Algonquin Road,Ste. D,Arlington Heights,IL,60005
584 W 5th Ave,,Naperville,IL,60563
880 E State Pkwy,,Schaumburg,IL,60173
6435 N Hix Road,,Westland,MI,
12401 Prosperity Drive,,Silver Springs,MD,20904
3864 Courtney Street,,Bethlehem,PA,18017
441 Science Park Road,,State College,PA,16801
4735 Walnut Street,,Boulder,CO,80301
312 Blue Bird Dr,,Goodlettsville,TN,--
4635 Southwest Freeway,,Houston,TX,77027
1593 NE Expressway,,Atlanta,GA,30329
34 Peachtree Street NW,,Atlanta,GA,30303
3919 Crescent Circle,,South Bend,IN,46628
200 Galleria Officentre,,Southfield,MI,48034
"21691 Filigree Court, Bldg E",,Ashburn,VA,20147
1825 Savercool,,Bethlehem,PA,
2001 Fortune Drive,,San Jose,CA,95131
9110 Commerce Center Circle,,Highlands Ranch,CO,80129
1101 SE Tech Center Dr. Suite 150,,Vancouver,WA,98683
4450 Dean Lakes Blvd,,Shakopee,MN,55379
7145 Boone Ave. N Suite 140,,Brooklyn Park,MN,55428
12655 Edison Drive,,Alpharetta,GA,--
1000 Commerce Drive,,Oak Brook,IL,60523
1441 Touhy Avenue,,Elk Grove Village,IL,60007
215 W. Ohio St. 5th Floor,,Chicago,IL,60564
301 West Bay Street,,Jacksonville,FL,--
49 NW 5th Street,,Miami,FL,33128
8324 Baymeadows Way,,Jacksonville,FL,--
1175 N Main St,,Harrisonburg,VA,22802
8209 Valleypipe (Valley Pike),,Middletown,VA,--
9680 Atlee Commons Dr,,Ashland,VA,23005
636 Pierce St,,Somerset,NJ,8873
"Harborside Financial Center, 3 2nd St.",,Jersey City,NJ,7302
650 Smithfield Road,,Pittsburgh,PA,15222
14926 Pony Express Dr.,,Bluffdale,UT,84065
851 Coho Way Suite 206,,Bellingham,WA,98225
1708 West Creek Lane,,Chaska,MN,55318
250 Locke Drive,,Marlborough,MA,1752
50 Madison Road,,Totowa,NJ,7512
1255 Euclid Ave.,,Cleveland,OH,44103
1360 Kifer Rd.,,Sunnyvale,CA,94086
660 Greens Parkway,,Houston,TX,77067
400 SW 6th Avenue,Suite 500?,Portland,OR,97214
920 East Oak Street,#4,Lake in the Hills,IL,60156
1 Evertrust Plaza,,Jersey City,NJ,7302
865 Ridge Road,,Monmouth Junction,NJ,8852
1 Technology Park,,Harrisburg,PA,17110
8 Research Parkway,,Wallingford,CT,6450
401 Bielenberg Drive,,Woodbury,MN,55125
9333 Grand Ave (9355),,Franklin Park,IL,60131
950 East Oak Street,,Lake in the Hills,IL,60156
20441 Century Boulevard,,Germantown,MD,
50 Innerbelt Road,,Somerville,MA,2143
100 Bigelow Street,,Holyoke,MA,1040
2805 Lafayette Street,,Santa Clara,CA,95054
21111 Ridgetop Circle,,Sterling,VA,20166
"200B Meadowlands Pkwy, Secaucus NJ 07094",,Secaucus,NJ,7094
3949 Schelden Circle,,Bethlehem,PA,18017
20435 72nd Ave S. Suite 150,,Kent,WA,98032
1003 Donnelly Avenue SW,,Atlanta,GA,30310
1841 Air Lane Drive,,Nashville,TN,37210
2132 NW 114th Avenue,,Miami,FL,33172
3500 NW Boca Raton Blvd.,,Boca Raton,FL,33431
6602 Executive Park Court N,,Jacksonville,FL,32216
2703 Ena Drive,,Lansing,MI,48917
1450 E Parham Road,,Richmond,VA,23228
22 Linnell Circle,,Billerica,MA,
