Region,ID,Classification,Metro,Address,Facility,Data Center,Contact,Location (Relative to Airport),Colocation Gross SQ FT,Colocation Gross SQ M,Building Type,Parking,Floor Type,Floor Load Capacity,Flood Plain Info,Rating Range,Seismic Design Category,Fire Suppression,Power and Cooling Density,Utility Feeders,UPS Configuration,UPS Redundancy,Standby Power Configuration,Standby Power Redundancy,Cooling Configuration,Cooling Redundancy,Security (Physical),Security (Human),Security (Electronic),Amenities,Products and Services (Colocation ),Products and Services (Interconnection),Products and Services (Services),Products and Services (Packaged Solutions),Certifications,Green By Design,Reliability
AMER,AT1,IBX,Atlanta,"180 Peachtree Street NW
2nd & 6th Floors
Atlanta, GA 30303",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,10/1/43,"3,996","6-story concrete steel
structure, brick face",Adjacent to building (for fee),Raised,115 psf (5.51 kN/mÃ‚Â_),Zone X,,1,"Double-interlocked,
pre-action (dry pipe)",3.0 - 6.0 kVA per cabinet,2,Parallel Redundant,N+1,"6 x 2,250 kW Diesel Generators",2 x (N+1),Evaporative Cooling Refrigeration Systems,2N,Man Trap Entry,24x7 security officers,"Card Readers, CCTV and Recorders, Motion Detection","Break room
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart HandsÃ¢â€_Â¢
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance HubÃ¢â€_Â¢
 Data HubÃ¢â€_Â¢","SSAE16 SOC-1 Type II, SOC-2 Type II",Granular temperature controls,
AMER,AT2,IBX,Atlanta,"56 Marietta Street NW
5th Floor
Atlanta, GA 30303",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"6,475",602,"10-story concrete steel
structure, glass face",Adjacent to building (for fee),Raised,150 psf ( 7.18 kN/mÃ‚Â_),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,2 x 900 kW Diesel Generators,N+1,Evaporative Cooling Refrigeration System,N,Man Trap Entry,Security officers 8am-5pm,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
