Internal PoP List,,,,,,,
Region,Country,Metro,Address,Colo,Optical Transport,IP and EtherCloud,Video
APAC,Australia,Sydney,"639 Gardeners Road, Sydney,  2020, Australia",Equinix SY1,,x,
APAC,China,Hong Kong,"399 Chai Wan Rd, Chai Wan, Hong Kong",iAdvantage (Mega-I) 8th Floor,,x,x
APAC,China,Hong Kong,"168 Yeung Uk Rd, Hong Kong",Equinix HK1,,x,
APAC,China,Hong Kong,"Kerry Warehouse, 3 Shing Yiu St, Tsuen Wan, Kowloon, Hong Kong ",Equinix HK2,,x,
APAC,Japan,Tokyo,"3-8-21 Higashi-Shinagawa, Shinagawa-ku, Tokyo, 140-0002, Japan",Equinix TY2,,x,x
APAC,Japan,Tokyo,"1 Chome-9-20 Edagawa, Kt-ku, Tky-to 135-0051, Japan",Equinix TY3,,ICB*,
APAC,Singapore,Singapore,"2 Tai Seng Ave, Singapore 534408, Singapore",Global Switch ,,ICB*,
APAC,Singapore,Singapore,"20 Ayer Rajah Crescent  #05-05/08, Singapore, 139964, Singapore",Equinix SG1,,x,
EMEA,Austria,Vienna,"Louis-HÌ_fliger-Gasse 10, Vienna 1210, Austria",InterXion,,x,x
EMEA,Belgium,Antwerp,"North Trade Building, Noorderlaan 137, Antwerpen, B-2030, Belgium",LCL Belgium NV,,x,
EMEA,Belgium,Brussels,"Tollaan 99, 1200 Sint-Lambrechts-Woluwe, Belgium",euNetworks,x, ,x
EMEA,Belgium,Brussels,"Wezembeekstraat 2, Brussels, 1930, Belgium",InterXion BRU1,x,x,
EMEA,Belgium,Brussels,"Kouterveldstraat 13-15, Brussels, Belgium",LCL Belgium NV,,x,
EMEA,Bulgaria,Sofia,"26a Andrey Saharov Blvd, Sofia, 1784, Bulgaria",Neterra Communications,,x,
EMEA,Bulgaria,Sofia,"Ovche pole St. 122, Sofia, 1303, Bulgaria",Telepoint OOD,,x,
EMEA,Czech Republic,Prague,"Nad Elektrarnou 411, 10600 Prague, Czech Republic","CE Colo, SITEL (ICB)",,x,
EMEA,Denmark,Copenhagen,"Industriparken 20, 2750 Ballerup, Denmark",InterXion CPH1,,ICB*,x
EMEA,Denmark,Copenhagen,"Metrovej, 2300 KÌübenhavn S, Denmark",TSIC POP1,,ICB*,x
EMEA,Denmark,Copenhagen,"HÌürskÌ_tten 3-5, Hall 2, 2630 Taastrup, Copenhagen, Denmark",GlobalConnect,,x,x
EMEA,Denmark,Copenhagen,"Dtu Building 304, Lyngby, 2800, Denmark",Technical University of Denmark,,x,
EMEA,Denmark,Glostrup,"Ejby Industrivej 135, 2600 Glostrup, Denmark",TeliaSonera Data Center #3,,,x
EMEA,Estonia,Tallinn,"Fr. R. Kreutzwaldi, Tallinn, Estonia",Elion (subsidiary of Telia),,,x
EMEA,Finland,Helsinki,"Iso Roobertinkatu 21, 00120 Helsinki, Finland",TSIC POP 1,,,x
EMEA,Finland,Helsinki,"Kansakoulukuja 3, 00101 Helsinki, Finland",TSIC POP 2,,,x
EMEA,Finland,Helsinki,"Uutiskatu 5, 00240 Helsinki, Finland",Digita Networks Oy,,,x
EMEA,France,Marseille,"40 Avenue Roger Salengro, Marseille 13003, France",InterXion MRS 1,,x,
