On-Net Building List [4-01-2016],,,,,,,,,,,,,,,
Country,State / Province,City,Street Address,Postal Code,Structure Category,On-Net Type,Building Name,Zayo Building Code,CLLI Code,LATA,NPA,NXX,Latitude,Longitude,Market
USA,NY,New York,47 W 66th St,10023,Enterprise Location,On-Net,25445,NY-W67,NYCNNY66,132,,362,40.773147,-73.9798416,"New York-Northern New Jersey-Long Island, NY-NJ-PA"
USA,GA,Atlanta,100 10th St NW,30309,Enterprise Location,Fiber Only,133883,GA-1NW,ATLAGAHT,,,,33.781007,-84.390088,"Atlanta-Sandy Springs-Marietta, GA"
USA,MN,St Paul,320 Griggs St S,55105,Cell Site - Unknown,On-Net,111892,,STPNMN03,628,,,44.9319166,-93.1504333,"Minneapolis-St. Paul-Bloomington, MN-WI"
USA,IN,Indianapolis,5112 E Michigan St,46219,Small Cell - Stand Alone,Fiber Only,146628,,BRBGIN57,,,,39.774962,-86.082623,"Indianapolis-Carmel, IN"
USA,WA,Pullman,End of NW Park West Dr,99163,Cell Site - Unknown,On-Net,111929,,PLMNWA04,,,,46.746828,-117.180978,"Pullman, WA"
USA,IN,Indianapolis,10263 E US Highway 136,46234,Small Cell - Stand Alone,Fiber Only,146630,,IPLGIN35,,,,39.822596,-86.340319,"Indianapolis-Carmel, IN"
USA,PA,Warminster,1025 Louis Dr,18974,Cell Site - Unknown,On-Net,111898,,WRMNPAEW,228,,,40.2091,-75.0791,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
USA,IN,Indianapolis,8423 Railroad Rd,46217,Small Cell - Stand Alone,Fiber Only,146631,,KOKNIN36,,,,39.643796,-86.177426,"Kokomo, IN"
USA,IN,Lafayette,4343 SR 26 E,47904,Cell Site - Unknown,On-Net,111881,,LFYTINID,336,,,40.414951,-86.8195915,"Lafayette, IN"
USA,IN,Indianapolis,315 S German Church Rd,46229,Small Cell - Stand Alone,Fiber Only,146632,,IPLGIN34,,,,39.766725,-85.971023,"Indianapolis-Carmel, IN"
USA,PA,Carlisle,4 Cave Hill Dr,17013,Cell Site - Unknown,On-Net,111879,,CRLSPA13,226,,,40.2237213,-77.1873946,"Harrisburg-Carlisle, PA"
USA,IN,Indianapolis,8399 Morgantown Rd,46217,Small Cell - Stand Alone,Fiber Only,146633,,IPLGIN33,,,,39.6413,-86.196391,"Indianapolis-Carmel, IN"
USA,MS,Olive Branch,7380 Craft Goodman Rd,38654,Enterprise Location,On-Net,111885,MS-73C,OLBRMSAQ,468,,,34.9733472,-89.859225,"Memphis, TN-MS-AR"
USA,IN,Plainfield,1602 Oliver Ave,46168,Small Cell - Stand Alone,Fiber Only,146629,,IPLGIN36,,,,39.702877,-86.380069,"Indianapolis-Carmel, IN"
USA,MN,Cambridge,559 18th Ave SW,55008,Enterprise Location,On-Net,111889,MN-551,CMBRMN02,628,,,45.5553056,-93.2303611,"Minneapolis-St. Paul-Bloomington, MN-WI"
USA,IN,Plainfield,1544 Stanley Rd,46168,Small Cell - Stand Alone,Fiber Only,146634,,BRBGIN56,,,,39.688756,-86.380583,"Indianapolis-Carmel, IN"
USA,WA,Pullman,555 SE Derby St,99163,Cell Site - Unknown,On-Net,111928,,PLMNWAFS,960,,,46.722983,-117.177615,"Pullman, WA"
USA,IN,Indianapolis,Gate 5 & N Cty Rd 1000 E,46234,Small Cell - Stand Alone,Fiber Only,146635,,BRBGIN55,,,,39.815107,-86.346061,"Indianapolis-Carmel, IN"
USA,WA,Kennewick,5003 W Brinkley Rd,99338,Cell Site - Unknown,On-Net,111920,,KNWCWAGI,676,,,46.1711388,-119.203306,"Kennewick-Pasco-Richland, WA"
USA,IN,Indianapolis,Gate 8 & N Cty Rd 1000 E,46234,Small Cell - Stand Alone,Fiber Only,146636,,BRBGIN54,,,,39.818854,-86.346124,"Indianapolis-Carmel, IN"
USA,PA,Pennsburg,228 W 3rd St,18073,Enterprise Location,On-Net,111904,PA-228,PNBGPAAX,228,,,40.4004752,-75.49717,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
USA,IN,Plainfield,2299 Gladden Rd,46168,Small Cell - Stand Alone,Fiber Only,146637,,PLFDIN82,,,,39.708303,-86.366131,"Indianapolis-Carmel, IN"
USA,WA,Otis Orchards,4100 N Lynden Rd,99027,Cell Site - Unknown,On-Net,111915,,OREFWA01,676,,,47.6951722,-117.101592,"Spokane, WA"
USA,IN,Westfield,W 191st St & Spring Mill Rd,46074,Small Cell - Stand Alone,Fiber Only,146642,,WSFDIN32,,,,40.062628,-86.162574,"Indianapolis-Carmel, IN"
USA,PA,Carlisle,1 W Penn St,17013,Enterprise Location,On-Net,111878,PA-PEN,CRLSPA45,226,,,40.2059166,-77.1890336,"Harrisburg-Carlisle, PA"
USA,IN,Westfield,Wheeler Rd & E 181st St,46074,Small Cell - Stand Alone,Fiber Only,146643,,WSFDIN31,,,,40.049909,-86.141872,"Indianapolis-Carmel, IN"
USA,WA,Pullman,1930 Skyview Rd,99163,Cell Site - Unknown,On-Net,111927,,PLMNWAFK,960,,,46.74725,-117.156808,"Pullman, WA"
USA,IN,Westfield,933 E 191st St,46074,Small Cell - Stand Alone,Fiber Only,146638,,WSFDIN35,,,,40.06435,-86.1441,"Indianapolis-Carmel, IN"
USA,PA,Green Lane,1903 Twin Lows Rd,18054,Cell Site - Unknown,On-Net,111896,,WRTPPABO,228,,,40.3721099,-75.4017262,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
USA,IN,Westfield,926 E 186th St,46074,Small Cell - Stand Alone,Fiber Only,146639,,WSFDIN34,,,,40.057278,-86.145129,"Indianapolis-Carmel, IN"
USA,PA,Carlisle,102 W Ridge St,17013,Cell Site - Unknown,On-Net,111877,,CRLSPABW,,,,40.1927668,-77.1934856,"Harrisburg-Carlisle, PA"
USA,IN,Westfield,927 E 191st St,46074,Small Cell - Stand Alone,Fiber Only,146640,,WSFDIN36,,,,40.064275,-86.154138,"Indianapolis-Carmel, IN"
