COUNTRY,CITY,DATA CENTER,Code,Provider,Carrier
Canada,Toronto,"905 King Street West
Toronto, Ontario M6K 3G9
",TOR1,Cologix TOR2,GTT
United States,"Atlanta, GA","300 Satellite Blvd NW
Suwanee, GA 30024",ATL1,QTS,Cogent
United States,"Boston, MA","74 West Street, 1st Floor
Waltham, MA 02451
",BOS1,Equinix IBX BO1,Cogent
United States,"Chicago, IL","350 East Cermak Rd 6th Floor Ste 650 Chicago, IL 60616
",CHI1,Equinix CH3,GTT
United States,"Dallas, TX","1950 N. Stemmons Fwy, Suite 1034
Dallas, TX 75207
",DFW1,Equinix IBX DA1,GTT
,,,,,LEVEL3
,,,,,HE
United States,"Denver, CO","639 East 18th Avenue
Denver, CO 80203
",DEN1,Coresite DE2,GTT
United States,"Los Angeles, CA","624 S. Grand Ave Suite #2435
Los Angeles, CA 90017
",LAX1,Hines One Wilshire,same as LAX2
United States,"Los Angeles, CA","900 N. Alameda St., Suite 200
Los Angeles, CA 90012",LAX2,Coresite LA2,Tata
,,,,,CU
,,,,,CT
,,,,,Any2
,,,,,GTT
,,,,,Level3
,,,,,HE
United States,"Miami, FL","50 NE 9th Street
Miami, FL 33132
",MIA1,Verizon NAP Miami,Level 3
United States,"San Jose, CA","9 Great Oaks Blvd.
San Jose, CA 95119
",SJC1,Equinix IBX SV5,GTT
,,,,,Level 3
,,,,,PCCW
United States,"Seattle, WA
","3433 South 120th Place
Integrate East Building 4
Tukwila, WA 98168
",SEA1,Digital Realty Telx SEA1,Cogent
United States,Washington D.C.,"21721 Filigree Court
Ashburn, VA 20147
",IAD1,Equinix IBX DC6,GTT
,,,,,Level 3
United States,Washington D.C.,"21691 Filigree Court
Ashburn, VA 20147
",IAD2,Equinix IBX DC4,GTT
,,,,,Level 3
United States,Washington D.C.,"12098 Sunrise Valley Dr.
Reston, VA 20191
",IAD3,Coresite VA2,GTT
,,,,,Level 3
United States,Washington D.C.,"12100 Sunrise Valley Dr.
Reston, VA 20190
",IAD4,Coresite VA1,GTT
,,,,,Level 3
Brazil,Sao Paulo,"Alameda Araguaia, 3641 - Tamboré
Barueri/SP 06455-000
",SAO1,Equinix IBX SP2,Level 3
France,Paris,"Paris Nord 2, 167 Rue de la Belle Etoile, 95948 Roissy, CDG Cedex
",PAR1,Equinix IBX PA1,GTT
Germany,Frankfurt,"Hanauer Landstraße 298 
60314 Frankfurt
",FRA1,Interxion,GTT
,,,,,Tata
Italy,Milan,"Via Caldera 21, Building C, 21 Piastra Della, Palazzina C
20153 Milan
",MIL1,Interoute,GTT
Italy,Rome,"Via Cornelia 498,
00166 Roma
",ROM1,Interoute,GTT
Russia,Moscow,"41, Korovinskoye Shosse
Moscow, 125412",MOW1,Dataline,Dataline
Spain,Madrid,"71 Calle Albasanz
28037 Madrid
",MAD1,Interxion,GTT
United Arab Emirates,Dubai,"IMPZ, Dubai
",DXB1,Equinix IBX DX1,Du
