peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Neighboorhood,DC Parent,DC Parent Code,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Location ,Service Level Agreement,Power/Cooling,Power/Cooling,Power/Cooling,Power/Cooling,Certifications,Certifications,Certifications,Certifications,Certifications,Certifications
,,,,ZenLayer,,,TOR1,905 King Street West,,,,Toronto,M6K 3G9,ON,Canada,,,,,,,,,,Cologix,TOR2,GTT,,,,,,, 24 km/15 mi to Toronto Pearson Intl Airport (YYZ),100% availability for all power and environmental systems,Electrical Capacity – excess of 8 KW per cabinet,UPS Configuration – customizable up to 2N redundancy,Cooling – N+1 high performance chillers / N+1 cooling tower,,SSAE 16 SOC-1 Type II,Support to gain PCI compliance on an individual basis,,,,
,,,,ZenLayer,,,ATL1,300 Satellite Blvd NW,,,,Atlanta,30024,GA,United States,,,,,,,,,,QTS,,Cogent,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,BOS1,74 West Street,1st Floor,,,Boston,2541,MA,United States,,,,,,,,,,Equinix IBX, BO1,Cogent,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,CHI1,350 East Cermak Rd,6th Floor Ste 650,,,Chicago,60616,IL,United States,,,,,,,,,,Equinix, CH3,GTT,,,,,,,"10 mi/17 km from Midway Intl Airport (MDW)
21 mi/34 km from O’Hare Intl Airport (ORD)","99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability",Electrical Capacity – 2.4 kVA per cabinet,UPS configuration – N+1 Block Redundant System," Cooling Capacity – 2.5 kW per cabinet (8,533 BTUH)",, SSAE16 SOC-1 Type II Certified,,,,,
,,,,ZenLayer,,,DFW1,1950 N. Stemmons Fwy,Suite 1034,,,Dallas,75207,TX,United States,,,,,,,,,,Equinix IBX, DA1,GTT,LEVEL3,HE,,,,,"5 mi/8 km to Dallas Love Field Airport (DAL)
18 mi/29 km to Dallas-Fort Worth Airport (DFW)","99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability",Electrical Capacity – 2.4 kVA per cabinet,UPS Configuration – N+1 Distributed Redundant System,"Cooling Capacity – 1.75 kW per cabinet (5,973 BTUH)",,SSAE16 SOC-1 Type II Certified,,,,,
,,,,ZenLayer,,,DEN1,639 East 18th Avenue,,,,Denver,80203,CO,United States,,,,,,,,,,Coresite, DE2,GTT,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,LAX1,624 S. Grand Ave,Suite #2435,,,Los Angeles,90017,CA,United States,,,,,,,,,,Hines One Wilshire,,Tata,CU,CT,Any2,GTT,Level3,HE,,,,,,,,,,,,
,,,,ZenLayer,,,LAX2,900 N. Alameda St.,Suite 200,,,Los Angeles,90012,CA,United States,,,,,,,,,,Coresite, LA2,Tata,CU,CT,Any2,GTT,Level3,HE,19 mi/31 km to Los Angeles Intl Airport (LAX),"100% uptime SLA
Six 9s (99.9999%) historical portfolio uptime","Electrical – N, N+1, 2N UPSs, PDUs, and RPPs; N+1",redundancy on generators,"Cooling – N+1, chillers, CRAHs and chilled water pumps",,SSAE 16 SOC 1 Type II Certified,PCI DSS,Infrastructure/physical security standards support HIPAA compliance,,,
,,,,ZenLayer,,,MIA1,50 NE 9th Street,,,,Miami,33132,FL,United States,,,,,,,,,,Verizon NAP Miami,,Level 3,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,SJC1,9 Great Oaks Blvd.,,,,San Jose,95119,CA,United States,,,,,,,,,,Equinix IBX, SV5,GTT,Level 3,PCCW,,,,,"14 mi/23 km to San Jose Intl Airport (SJC)
46 mi/75 km to San Francisco Intl Airport (SFO)
46 mi/76 km to Oakland Intl Airport (OAK)","99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability
",Electrical Capacity – 4.0–5.0 kVA per cabinet,UPS Configuration – 5+1 block redundant topology,Cooling Capacity – 4.0 kVA per cabinet (13652 BTUH),,,SSAE16 SOC-1 Type II Certified,Energy Star Certified,,,
,,,,ZenLayer,,,SEA1,3433 South 120th Place,Integrate East Building 4,,,Seattle,98168,WA,United States,,,,,,,,,,Digital Realty Telx,SEA1,Cogent,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,IAD1,21721 Filigree Court,,,,Washington D.C.,20147,,United States,,,,,,,,,,Equinix IBX, DC6,GTT,Level 3,,,,,,"7 mi/11 km to Dulles Intl Airport (IAD)
33 mi/52 km to Reagan Washington National Airport (DCA)
61 mi/98km to Baltimore- Washington Intl Airport (BWI)","99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability",Electrical Capacity – 5.0 kVA per cabinet,UPS Configuration – N+1 block redundant System,"Cooling Capacity – 5.0 kW per cabinet (17,065 BTUH)",,SSAE16 SOC-1 Type II Certified,Silver LEED Certification,ptime Institute M&O Site Award,,,
,,,,ZenLayer,,,IAD2,21691 Filigree Court,,,,Washington D.C.,20147,,United States,,,,,,,,,,Equinix IBX, DC4,GTT,Level 3,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,IAD3,12098 Sunrise Valley Dr.,,,,Washington D.C.,20191,,United States,,,,,,,,,,Coresite, VA2,GTT,Level 3,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,IAD4,12100 Sunrise Valley Dr.,,,,Washington D.C.,20191,,United States,,,,,,,,,,Coresite, VA1,GTT,Level 3,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,SAO1,Alameda Araguaia 3641,,,,Sao Paulo,06455-000,,Brazil,,,,,,,,,Tamboré Barueri/SP,Equinix IBX, SP2,Level 3,,,,,,,"48 km/30 mi to Sao Paulo International Airport - Guarulhos (GRU)
26 km/16 mi to Congonhas (CGH) Airport","99.999+% Power availability
99.99+% Temperature availability
99.99+% Cross Connect availability"," Electrical Capacity – up to 12,0 kVA per rack","UPS Configuration – 4 systems x 1.6 kVA (1,44 kW), and 2 systems x 2,000 kVA (1,840 kW), 2N","  Cooling capacity – up to 12.0 kVA per rack (36,709 BTUH)",, ISAE3402 e SSAE16 SOC1 Tipo II,SAP Infrastructure Operations Services, ISO 27001:2013,ISO 9001:2008, PCI DSS 3.0, TIER III
