Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,Cogent,,Cogent Data Center,,245 Consumers Rd. 300,,,,Toronto,M2J 1R3,ON,Canada,,,,,,,,
,Cogent,,Cogent Data Center,,25 Broadway,,,,New York,10004,NY,USA,,,,,,,,
,Cogent,,Cogent Pasadena Data Center,,2947 Bradley Street 1st Floor,,,,Pasadena,91107,CA,USA,,,,,,,,
,Cogent,,COI Hub - MSY01 - Cogent Data Center,,650 Poydras Street,,,,New Orleans,70130,LA,USA,,,,,,,,
,Cogent,,COI Hub - MKE02,,324 E Wisconsin,,,,Milwaukee,53202,WI,USA,,,,,,,,
,Cogent,,COI Hub - CMH02 - FNSI Columbus,,240 N 5th Street,,,,Columbus,43215,OH,USA,,,,,,,,
,Cogent,,COI Hub - PAR01 - PZU,,77 boulevard de la RÃ©publique,,,,La Garenne Colombes,92250,,France,,,,,,,,
,Cogent,,COI Hub - BOD01,,BÃ¢t. G2 - Bassin Ã  flots,,,,Bordeaux,33000,,France,,,,,,,,
,Cogent,,COI Pop - DIJ01,,41 Quai Gauthey,,,,Dijon,21000,,France,,,,,,,,
,Cogent,,COI Hub - GNB01,,33 rue Joseph Chanrion,,,,Grenoble,38000,,France,,,,,,,,
,Cogent,,COI Hub - LIL01 - Lille,,72 rue Jenner,,,,Lille,59000,,France,,,,,,,,
,Cogent,,COI Hub - MPL01 - Montpellier,,189 pl du 56e rgmt d artillerie,,,,Montpellier,34000,,France,,,,,,,,
,Cogent,,Cogent Data Center - Nice,,16 Avenue Thiers,,,,Nice,6000,,France,,,,,,,,
,Cogent,,COI Hub - NCE02,,282 route des Cystes,,,,Antibes,6560,,France,,,,,,,,
,Cogent,,COI Hub - NTE01 - Nantes,,32 boulevard Victor Hugo,,,,Nantes,44000,,France,,,,,,,,
,Cogent,,COI Pop - PAR02 - PZP,,16 rue Grange Damerose,,,,Velizy Villacoublay,78140,,France,,,,,,,,
,Cogent,,COI Hub - PIS01,,18/22 rue Jeanne dArc,,,,Poitiers,86000,,France,,,,,,,,
,Cogent,,COI Hub - RNS01,,Av. Chardonnet - Lorans 30F,,,,Rennes,35000,,France,,,,,,,,
,Cogent,,COI Hub - SXB01,,46 route de Bischwiller,,,,Schiltigheim,67300,,France,,,,,,,,
,Cogent,,COI Hub - TLS01 - Toulouse,,125bis ch du Sang de Serp,,,,Toulouse,31000,,France,,,,,,,,
,Cogent,,COI Hub - TUF01 - Tours,,171 rue des Douets,,,,Tours,37000,,France,,,,,,,,
,Cogent,,COI Hub - URO01 - Rouen,,20 rue Alexandre BarrabÃ©,,,,Rouen,76000,,France,,,,,,,,
,Cogent,,COI Pop - BCT01 - Verio Data Center,,5050 Conference Way North,,,,Boca Raton,33431,FL,USA,,,,,,,,
,Cogent,,New York Hosting Ctr,,33 Whitehall,,,,New York,10004,NY,USA,,,,,,,,
,Cogent,,Cogent Data Center,,55 Marietta St NW,,,,Atlanta,30303,GA,USA,,,,,,,,
,Cogent,,COI Pop - SAN04 - Cogent Data Center,,"525 B St, Suite 1020",,,,San Diego,92101,CA,USA,,,,,,,,
,Cogent,,COI Hub - DCA01 (new) - Cogent Datacenter (former,,1120 Vermont Ave NW,,,,Washington,20005,DC,USA,,,,,,,,
,Cogent,,Cogent Data Center,,400 N Tampa St,,,,Tampa,33602,FL,USA,,,,,,,,
,Cogent,,Cogent Data Center,,12061 North Fwy,,,,Houston,77060,TX,USA,,,,,,,,
,Cogent,,COI Hub - OAK01 - Cogent Data Center,,1624 Franklin Street,,,,Oakland,94612,CA,USA,,,,,,,,
,Cogent,,Cogent Data Center,,250 Marquette Avenue,,,,Minneapolis,55401,MN,USA,,,,,,,,
,Cogent,,Cogent Data Center,,59 Innerbelt Road,,,,Somerville,2143,MA,USA,,,,,,,,
,Cogent,,Verio Data Center,,427 S LaSalle,,,,Chicago,60605,IL,USA,,,,,,,,
