peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Internet Exchange,123.NET,Alpheus,AT&T,CenturyLink,Charter,CoastCom,Cogent,Comcast,Cox,DQE,Electric Lightwave (Integra),EnTouch,euNetworks,FiberLight,Fibertech,FORETHOUGHT.net,FPL (Fibernet Direct),GTT,Interoute,Layer 42 (Wave),Level 3,Level 3 (Former Global Crossing),Lightower,Lumos,Megaport,MUFN,Neutral Path Communications LH,Paxio,Phonoscope,Silicon Valley Fiber,Southern Light,Summit IG,Telia,TelNet,Time Warner Cable,US Signal,Verizon Fiber,Wave,Windstream,WOW! Business,Xmission Utopia,XO,Zayo,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby
,,,,EdgeConnex,,,EDCAMS01,Koolhovenlaan 12,,,,Schiphol-Rijk,,,NL,,,,,,,,,NL-IX,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Local Peering",,,,,,"Diverse Entrances, Dark, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering","Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,Telia,Zayo,Zayo Metro,,,,
,,,,EdgeConnex,,,EDCAMS02,Cessnalaan 55,,,,Schiphol-Rijk,,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCAMS03,Koolhovenlaan 20,,,,Schiphol-Rijk,,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCAMS04,Capronilaan 25,,,,Schiphol-Rijk,,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCATL01,1003 Donnelly Ave SW,,,,Atlanta,30310,GA,US,,,,,,,,,Community IX-Awaiting red-lines d.temkin  ~6/30/17,,,Business DIA,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,"Diverse Entrances, IP Global Peering, IP Local Peering",,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",FiberLight,Southern Telecom,XO,,,,
,,,,EdgeConnex,,,EDCBOS01,22 Linnell Circle,,,,Billerica,1821,MA,US,,,,,,,,,MASS-IX,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,Business DIA,,,,,,,CenturyLink,FirstLight,Level 3,XO,Zayo,,
,,,,EdgeConnex,,,EDCCHI01,1800 Nicholas Blvd,,,,Elk Grove Village,60007,IL,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCDEN01,8535 Highfield Pky,Bldg 3 Suite 500/600,,,Englewood,80112,CO,US,,,,,,,,,IX-Denver-Waiting on board to review app.~9/30/17,,,,"Diverse Entrances, Lit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",Windstream,XO,,,,,
,,,,EdgeConnex,,,EDCDET01,21005 Lahser Rd,Bldg 4,,,Southfield,48033,MI,US,,,,,,,,,DET-IX,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Business DIA",,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Dark, Lit, Business DIA, IP Local Peering",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,CenturyLink,ComLink,Level 3,Windstream,XO,Zayo,
,,,,EdgeConnex,,,EDCDUB01,Grange Castle Business Park,,,,Dublin,22,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EasyNet,euNetworks,Level 3,SSE Enterprise Telecoms,Telia,Zayo Metro,
