peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,639 Gardeners Road,,,,Sydney,2020,,AU,,,,,,,,,Equinix,SY1,,x,
,,,,GTT,,,,168 Yeung Uk Rd,,,,Hong Kong,,,CN,,,,,,,,,Equinix,HK1,,x,
,,,,GTT,,,,399 Chai Wan Rd,Chai Wan,,,Hong Kong,,,CN,,,,,,,,,iAdvantage (Mega-I) 8th Floor,,,x,x
,,,,GTT,,,,3 Shing Yiu St,Tsuen Wan Kowloon,,Kerry Warehouse,Hong Kong,,,CN,,,,,,,,,Equinix,HK2,,x,
,,,,GTT,,,,1 Chome-9-20 Edagawa,Kt-ku,,,Tky-to,135-0051,,JP,,,,,,,,,Equinix,TY3,,ICB*,
,,,,GTT,,,,3-8-21 Higashi-Shinagawa,Shinagawa-ku,,,Tokyo,140-0002,,JP,,,,,,,,,Equinix,TY2,,x,x
,,,,GTT,,,,2 Tai Seng Ave,,,,Singapore,534408,,SG,,,,,,,,,Global Switch ,,,ICB*,
,,,,GTT,,,,20 Ayer Rajah Crescent #05-05/08,,,,Singapore,139964,,SG,,,,,,,,,Equinix,SG1,,x,
,,,,GTT,,,,Louis-Hí_fliger-Gasse 10,,,,Vienna,1210,,AT,,,,,,,,,InterXion,,,x,x
,,,,GTT,,,,North Trade Building,Noorderlaan 137,,,Antwerpen,B-2030,,BE,,,,,,,,,LCL Belgium NV,,,x,
,,,,GTT,,,,Kouterveldstraat 13-15,,,,Brussels,,,BE,,,,,,,,,LCL Belgium NV,,,x,
,,,,GTT,,,,Tollaan 99,1200 Sint-Lambrechts-Woluwe,,,,,,BE,,,,,,,,,euNetworks,,x, ,x
,,,,GTT,,,,Wezembeekstraat 2,,,,Brussels,1930,,Belgium,,,,,,,,,InterXion,BRU1,x,x,
,,,,GTT,,,,26a Andrey Saharov Blvd,,,,Sofia,1784,,Bulgaria,,,,,,,,,Neterra Communications,,,x,
,,,,GTT,,,,Ovche pole St. 122,,,,Sofia,1303,,Bulgaria,,,,,,,,,Telepoint OOD,,,x,
,,,,GTT,,,,Nad Elektrarnou 411,,,,Prague,10600,,Czech Republic,,,,,,,,,"CE Colo, SITEL (ICB)",,,x,
