peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Level3,,Birmingham 1,,2001 Park Place North,,,,Birmingham,35203,AL,USA,,,,,,,,
,,,,Level3,,Birmingham 2,,401 S 6th St,,,,Birmingham,35205,AL,USA,,,,,,,,
,,,,Level3,,Mobile 1,,50 N. Lawrence Street,,,,Mobile,36602,AL,USA,,,,,,,,
,,,,Level3,,Phoenix 2,,17 E. Virginia Avenue,,,,Phoenix,85004,AZ,USA,,,,,,,,
,,,,Level3,,Phoenix 3,,801 S 16th Street,1st Floor,,,Phoenix,85034,AZ,USA,,,,,,,,
,,,,Level3,,Phoenix 1,,811 S. 16th Street ,,,,Phoenix,85034,AZ,USA,,,,,,,,
,,,,Level3,,Tucson 1,,135 N. 6th Avenue,,,,Tucson,85701,AZ,USA,,,,,,,,
,,,,Level3,,Anaheim 1,,2461 W. La Palma Avenue,,,,Anaheim,92801,CA,USA,,,,,,,,
,,,,Level3,,Bakersfield 1,,2020 P Street,,,,Bakersfield,93311,CA,USA,,,,,,,,
,,,,Level3,,Emeryville 1,,5000 Hollis Street,,,,Emeryville,94608,CA,USA,,,,,,,,
,,,,Level3,,Fresno 1,,305 W. Napa Ave,,,,Fresno,93706,CA,USA,,,,,,,,
,,,,Level3,,Hayward 1,,23965 Conneticut St,,,,Hayward,94545,CA,USA,,,,,,,,
,,,,Level3,,Los Angeles 4,,600 Wilshire Blvd,,,,Los Angeles,90017,CA,USA,,,,,,,,
,,,,Level3,,Los Angeles 1,,818 W. 7th Street,"3rd Floor, 10th Floor",,,Los Angeles,90017,CA,USA,,,,,,,,
,,,,Level3,,Manchester 1,,19700 S Highway 1,,,,Manchester,95459,CA,USA,,,,,,,,
,,,,Level3,,Modesto 1,,1224 13th Street,,,,Modesto,95354,CA,USA,,,,,,,,
,,,,Level3,,Riverside 1,,1550 Marlborough Avenue,Suite 100,,,Riverside,92507,CA,USA,,,,,,,,
,,,,Level3,,Sacramento 2,,1005 North B Street,,,,Sacramento,95814,CA,USA,,,,,,,,
,,,,Level3,,Sacramento 1,,1075 Triangle Court ,,,,Sacramento,95691,CA,USA,,,,,,,,
,,,,Level3,,Sacramento 3,,1303 J Street,7th Floor,,,Sacramento,95814,CA,USA,,,,,,,,
,,,,Level3,,San Bernardino 1,,5705 Industrial Parkway,,,,San Bernardino,92407,CA,USA,,,,,,,,
,,,,Level3,,San Diego 3,,3180 University Avenue,4th - 5th Floor,,,San Diego,92104,CA,USA,,,,,,,,
,,,,Level3,,San Diego 2,,8923 Complex Drive,,,,San Diego,92123,CA,USA,,,,,,,,
,,,,Level3,,San Diego 1,,8929 Aero Drive,,,,San Diego,92123,CA,USA,,,,,,,,
,,,,Level3,,San Francisco 1,,185 Berry Street,Suite 2900,,,San Francisco,94158,CA,USA,,,,,,,,
,,,,Level3,,San Francisco 3,,200 Paul Avenue,Suite 401,,,San Francisco,94124,CA,USA,,,,,,,,
