peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Telia Carrier,,,,Talpagasse 6A,,,,Vienna,1230,,AT,,,,,,,,
,,,,Telia Carrier,,,,Kansakoulukuja 3,,,,Helsinki,100,,FI,,,,,,,,
,,,,Telia Carrier,,,,Iso-Roobertinkatu 21-25,,,,Helsinki,120,,FI,,,,,,,,
,,,,Telia Carrier,,,,22 Avenue des Nations ,,,,Paris,93420,,FR,,,,,,,,
,,,,Telia Carrier,,,,"1 Harbour Exchange Square,  E14 9GE ",,,,London,,,GB,,,,,,,,
,,,,Telia Carrier,,,,Overbeckstr. 41a,,,,Dresden,1139,,DE,,,,,,,,
,,,,Telia Carrier,,,,In der Steele 43,,,,DĚ_sseldorf,40599,,DE,,,,,,,,
,,,,Telia Carrier,,,,Flughafenstrasse 54a,,,,Hamburg,22335,,DE,,,,,,,,
,,,,Telia Carrier,,,,Stuttgarter Strasse 2,,,,Munich,80807,,DE,,,,,,,,
,,,,Telia Carrier,,,,Zettachring 12,,,,Stuttgart,70567,,DE,,,,,,,,
,,,,Telia Carrier,,,,Ul. Jutrzenki 177,,,,Warsaw,02-231,,PL,,,,,,,,
,,,,Telia Carrier,,,,TrekantsvĚ_gen 7,,,,Stockholm,117 43,,SE,,,,,,,,
